NAME                                                            VERSION       TYPE 
isarray                                                         1.0.0         npm   
isexe                                                           2.0.0         npm   
isobject                                                        2.1.0         npm   
isobject                                                        3.0.1         npm   
istanbul-lib-coverage                                           3.0.0         npm   
istanbul-lib-instrument                                         4.0.3         npm   
istanbul-lib-report                                             3.0.0         npm   
istanbul-lib-source-maps                                        4.0.0         npm   
istanbul-reports                                                3.0.2         npm   
jest                                                            27.1.1        npm   
jest-changed-files                                              27.1.1        npm   
jest-circus                                                     27.1.1        npm   
jest-cli                                                        27.1.1        npm   
jest-config                                                     27.1.1        npm   
jest-diff                                                       27.1.1        npm   
jest-docblock                                                   27.0.6        npm   
jest-each                                                       27.1.1        npm   
jest-environment-jsdom                                          27.1.1        npm   
jest-environment-node                                           27.1.1        npm   
jest-get-type                                                   27.0.6        npm   
jest-haste-map                                                  27.1.1        npm   
jest-jasmine2                                                   27.1.1        npm   
jest-leak-detector                                              27.1.1        npm   
jest-matcher-utils                                              27.1.1        npm   
jest-message-util                                               27.1.1        npm   
jest-mock                                                       27.1.1        npm   
jest-pnp-resolver                                               1.2.2         npm   
jest-regex-util                                                 27.0.6        npm   
jest-resolve                                                    27.1.1        npm   
jest-resolve-dependencies                                       27.1.1        npm   
jest-runner                                                     27.1.1        npm   
jest-runtime                                                    27.1.1        npm   
jest-serializer                                                 27.0.6        npm   
jest-snapshot                                                   27.1.1        npm   
jest-util                                                       27.1.1        npm   
jest-validate                                                   27.1.1        npm   
jest-watcher                                                    27.1.1        npm   
jest-worker                                                     27.1.1        npm   
jmespath                                                        0.15.0        npm   
joi                                                             17.4.0        npm   
joycon                                                          2.2.5         npm   
js-tokens                                                       3.0.2         npm   
js-tokens                                                       4.0.0         npm   
js-yaml                                                         3.14.0        npm   
js-yaml                                                         3.14.1        npm   
jsdom                                                           16.7.0        npm   
jsesc                                                           1.3.0         npm   
jsesc                                                           2.5.2         npm   
json-buffer                                                     3.0.0         npm   
json-parse-better-errors                                        1.0.2         npm   
json-parse-even-better-errors                                   2.3.1         npm   
json-schema-traverse                                            0.4.1         npm   
json-stable-stringify-without-jsonify                           1.0.1         npm   
json5                                                           0.5.1         npm   
json5                                                           2.2.0         npm   
jsonfile                                                        6.1.0         npm   
keyv                                                            3.1.0         npm   
kind-of                                                         3.2.2         npm   
kind-of                                                         6.0.3         npm   
kleur                                                           3.0.3         npm   
latest-version                                                  5.1.0         npm   
lazy-cache                                                      1.0.4         npm   
leven                                                           3.1.0         npm   
levn                                                            0.4.1         npm   
license-compatibility-checker                                   0.3.5         npm   
license-compliance                                              1.2.2         npm   
lines-and-columns                                               1.1.6         npm   
loader-runner                                                   4.2.0         npm   
loader-utils                                                    1.4.0         npm   
locate-path                                                     3.0.0         npm   
locate-path                                                     5.0.0         npm   
lodash                                                          4.17.20       npm   
lodash                                                          4.17.21       npm   
lodash.clonedeep                                                4.5.0         npm   
lodash.debounce                                                 4.0.8         npm   
lodash.merge                                                    4.6.2         npm   
